contrast,lhs,rhs,definition,metric,metric_label,unit,n_pairs,n_tasks,n_families,n_observed_metric_families,n_metric_complete_families,n_analysis_tasks,n_candidate_pairs,n_candidate_tasks,n_candidate_families,n_arm_complete_pairs,n_arm_complete_tasks,n_arm_complete_families,coverage_basis,missing_lhs_runs,missing_rhs_runs,missing_metric_pairs,missing_family_candidate_tasks,lhs_pair_mean,rhs_pair_mean,estimate,ci_low,ci_high,task_cluster_estimate,task_cluster_ci_low,task_cluster_ci_high,median_pair_delta
boundary_cost,PROJECT_READ_ONLY,BOUNDED_ORACLE,PROJECT_READ_ONLY - BOUNDED_ORACLE,need_resource_requested,NEED_RESOURCE run,percentage_points,14,14,7,7,7,14,14,14,7,14,14,7,diagnostic_manifest,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boundary_cost,PROJECT_READ_ONLY,BOUNDED_ORACLE,PROJECT_READ_ONLY - BOUNDED_ORACLE,need_resource_count,NEED_RESOURCE count,requests,14,14,7,7,7,14,14,14,7,14,14,7,diagnostic_manifest,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grant_selection_cost,BOUNDED_ORACLE,BOUNDED_INFERRED,BOUNDED_ORACLE - BOUNDED_INFERRED,semantic_pass,semantic pass,percentage_points,14,14,7,7,7,14,14,14,7,14,14,7,diagnostic_manifest,0,0,0,0,1.0,0.9285714285714286,0.07142857142857142,0.0,0.21428571428571427,0.07142857142857142,0.0,0.21428571428571427,0.0
grant_selection_cost,BOUNDED_ORACLE,BOUNDED_INFERRED,BOUNDED_ORACLE - BOUNDED_INFERRED,policy_pass,policy pass,percentage_points,14,14,7,7,7,14,14,14,7,14,14,7,diagnostic_manifest,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grant_selection_cost,BOUNDED_ORACLE,BOUNDED_INFERRED,BOUNDED_ORACLE - BOUNDED_INFERRED,hard_pass,Hard Pass,percentage_points,14,14,7,7,7,14,14,14,7,14,14,7,diagnostic_manifest,0,0,0,0,1.0,0.9285714285714286,0.07142857142857142,0.0,0.21428571428571427,0.07142857142857142,0.0,0.21428571428571427,0.0
grant_selection_cost,BOUNDED_ORACLE,BOUNDED_INFERRED,BOUNDED_ORACLE - BOUNDED_INFERRED,first_schema_valid,first-schema valid,percentage_points,14,14,7,7,7,14,14,14,7,14,14,7,diagnostic_manifest,0,0,0,0,0.9285714285714286,0.9285714285714286,0.0,-0.21428571428571427,0.21428571428571427,0.0,-0.21428571428571427,0.21428571428571427,0.0
grant_selection_cost,BOUNDED_ORACLE,BOUNDED_INFERRED,BOUNDED_ORACLE - BOUNDED_INFERRED,final_schema_valid,final-schema valid,percentage_points,14,14,7,7,7,14,14,14,7,14,14,7,diagnostic_manifest,0,0,0,0,1.0,0.9285714285714286,0.07142857142857142,0.0,0.21428571428571427,0.07142857142857142,0.0,0.21428571428571427,0.0
grant_selection_cost,BOUNDED_ORACLE,BOUNDED_INFERRED,BOUNDED_ORACLE - BOUNDED_INFERRED,response_contract_valid,response-contract valid,percentage_points,14,14,7,7,7,14,14,14,7,14,14,7,diagnostic_manifest,0,0,0,0,1.0,0.9285714285714286,0.07142857142857142,0.0,0.21428571428571427,0.07142857142857142,0.0,0.21428571428571427,0.0
grant_selection_cost,BOUNDED_ORACLE,BOUNDED_INFERRED,BOUNDED_ORACLE - BOUNDED_INFERRED,abstained,abstained,percentage_points,14,14,7,7,7,14,14,14,7,14,14,7,diagnostic_manifest,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grant_selection_cost,BOUNDED_ORACLE,BOUNDED_INFERRED,BOUNDED_ORACLE - BOUNDED_INFERRED,answer_candidate_count,answer candidate count,candidates,14,14,7,7,7,14,14,14,7,14,14,7,diagnostic_manifest,0,0,0,0,3.857142857142857,3.857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
